Date,Open,High,Low,Close,Volume,Tomorrow,Target
3290.0,0.0,99.41999816894533,97.5199966430664,98.58000183105467,33290000.0,99.12999725341795,1
-527.0,0.0,99.93000030517578,97.88999938964844,99.20999908447266,13570000.0,97.94000244140624,0
9071.0,468.4100036621094,470.9200134277344,466.3599853515625,466.510009765625,331360000.0,467.9100036621094,1
15698.0,1430.1500244140625,1430.1500244140625,1424.6600341796875,1426.6600341796875,1248960000.0,1419.8299560546875,0
18781.0,4191.43017578125,4204.39013671875,4167.93017578125,4192.85009765625,4579450000.0,4229.89013671875,1
1355.0,0.0,105.41000366210938,103.20999908447266,104.1500015258789,15100000.0,103.7699966430664,0
959.0,0.0,112.41000366210938,110.72000122070312,111.33999633789062,14360000.0,111.76000213623048,1
13091.0,1219.93994140625,1222.52001953125,1214.449951171875,1220.1400146484375,2050510000.0,1222.81005859375,1
14298.0,773.25,777.8499755859375,742.3699951171875,743.3300170898438,6509300000.0,773.1400146484375,1
17885.0,2496.77001953125,2509.6298828125,2441.179931640625,2467.419921875,5585780000.0,2416.6201171875,0
-2725.0,0.0,57.959999084472656,56.68000030517578,56.77999877929688,3500000.0,56.20000076293945,0
770.0,0.0,106.69000244140624,104.97000122070312,105.58999633789062,23460000.0,105.08000183105467,0
5222.0,157.89999389648438,158.02000427246094,157.10000610351562,158.02000427246094,75860000.0,156.8000030517578,0
-3300.0,57.130001068115234,57.130001068115234,57.130001068115234,57.130001068115234,3630000.0,57.09000015258789,0
3667.0,0.0,112.9000015258789,110.37999725341795,111.0500030517578,67700000.0,110.6999969482422,0
8320.0,402.6600036621094,407.4400024414063,402.6600036621094,407.4400024414063,126670000.0,409.2999877929688,1
824.0,0.0,108.62000274658205,106.7699966430664,108.12000274658205,18110000.0,109.0,1
11722.0,1122.199951171875,1122.199951171875,1092.25,1094.43994140625,1437600000.0,1090.02001953125,0
-3152.0,67.08000183105469,67.08000183105469,67.08000183105469,67.08000183105469,5110000.0,67.38999938964844,1
4508.0,118.81999969482422,118.83000183105467,117.68000030517578,118.68000030517578,67540000.0,119.47000122070312,1
-1184.0,0.0,76.0999984741211,74.30999755859375,74.69000244140625,5880000.0,74.05000305175781,0
-331.0,0.0,103.58999633789062,102.1500015258789,102.91999816894533,12550000.0,103.1999969482422,1
17022.0,2182.239990234375,2187.659912109375,2178.610107421875,2181.739990234375,3334300000.0,2175.489990234375,0
12135.0,895.7899780273438,895.7899780273438,862.02001953125,864.22998046875,1293000000.0,874.739990234375,1
4144.0,0.0,132.41000366210938,130.2100067138672,131.6699981689453,42590000.0,131.66000366210938,0
10527.0,1065.3399658203125,1072.7900390625,1059.6500244140625,1068.0899658203125,677500000.0,1085.9300537109375,1
14098.0,1286.510009765625,1286.510009765625,1264.2900390625,1266.0699462890625,5319380000.0,1296.3199462890625,1
17039.0,2175.10009765625,2187.93994140625,2160.389892578125,2169.0400390625,3342340000.0,2180.3798828125,1
18656.0,3778.050048828125,3778.050048828125,3694.1201171875,3714.239990234375,6612570000.0,3773.860107421875,1
16392.0,2041.47998046875,2056.080078125,2041.47998046875,2051.800048828125,3416190000.0,2048.719970703125,0
15540.0,1373.010009765625,1380.3900146484375,1371.2099609375,1376.510009765625,4043360000.0,1362.6600341796875,0
10821.0,1344.1600341796875,1344.1600341796875,1332.1300048828125,1332.8399658203125,682800000.0,1323.5899658203125,0
7817.0,377.489990234375,382.1000061035156,377.1199951171875,381.9400024414063,162350000.0,382.7900085449219,1
207.0,0.0,78.2699966430664,77.06999969482422,77.6500015258789,7460000.0,77.7699966430664,1
2898.0,0.0,93.76000213623048,92.51000213623048,92.95999908447266,20400000.0,93.6500015258789,1
6251.0,277.5400085449219,278.0400085449219,273.8900146484375,275.6199951171875,200400000.0,279.70001220703125,1
-3961.0,55.40999984741211,55.40999984741211,55.40999984741211,55.40999984741211,4300000.0,55.72999954223633,1
11178.0,1482.800048828125,1490.3299560546875,1471.1600341796875,1472.8699951171875,1054000000.0,1460.25,0
11067.0,1427.469970703125,1435.489990234375,1422.0799560546875,1434.5400390625,896200000.0,1429.8599853515625,0
10070.0,938.7899780273438,942.969970703125,935.1900024414062,936.4500122070312,466920000.0,942.2899780273438,1
5303.0,152.24000549316406,153.52999877929688,151.44000244140625,153.36000061035156,74830000.0,152.88999938964844,0
13305.0,1265.22998046875,1269.8800048828125,1254.4599609375,1263.8499755859375,2697650000.0,1256.1500244140625,0
4379.0,0.0,123.36000061035156,121.7300033569336,122.2699966430664,28320000.0,121.66999816894533,0
8923.0,458.8800048828125,459.4599914550781,457.6499938964844,458.2099914550781,234680000.0,457.05999755859375,0
15114.0,1342.0,1342.0,1330.6700439453125,1333.27001953125,4066020000.0,1317.3699951171875,0
18121.0,2880.719970703125,2943.31005859375,2877.050048828125,2926.320068359375,3853600000.0,2840.60009765625,0
3826.0,0.0,115.27999877929688,113.3499984741211,114.51000213623048,34180000.0,115.13999938964844,1
3317.0,0.0,101.41000366210938,99.47000122070312,99.93000030517578,30330000.0,99.95999908447266,1
11333.0,1313.27001953125,1332.18994140625,1309.719970703125,1326.8199462890625,1411200000.0,1318.550048828125,0
2280.0,0.0,103.36000061035156,101.25,102.01000213623048,17930000.0,102.7699966430664,1
15755.0,1519.7900390625,1530.93994140625,1519.7900390625,1530.93994140625,3748910000.0,1511.949951171875,0
15142.0,1268.5799560546875,1279.8199462890625,1267.4000244140625,1271.5,4916460000.0,1278.3599853515625,1
5067.0,165.36000061035156,166.41000366210938,165.33999633789062,166.0800018310547,83380000.0,166.1300048828125,1
